BNS Sections,IPC Sections,IPC Description
262,224,"224. Resistance  or  obstruction  by  a  person  to  his
lawful apprehension."
263,225,"225.Resistance      or      obstruction      to      lawful
apprehension of another person."
264,225A,"225A.Omission   to   apprehend,   or   sufferance   of escape,   on   part   of   public   servant,   in   cases   not
otherwise, provided for."
265,225B,"225B.Resistance      or     obstruction      to      lawful apprehension,   or   escape   or   rescue   in   cases   not
otherwise provided for."
266,227,"227. Violation    of    condition    of    remission    of
punishment."
267,228,"228.Intentional   insult   or   interruption   to   public
servant sitting in judicial proceeding."
268,229,229.Personation of a juror or assessor.
269,229A,229A.Failure  by person released on bail  or bond  to appear in court.
Deleted,264,264. Fraudulent    use    of    false    instrument    for weighing.
Deleted,265,265.Fraudulent use of false weight or measure.
Deleted,266,266.Being in possession of false weight or measure.
Deleted,267,267.Making or selling false weight or measure.
270,268,268.Public nuisance.
271,269,"269.Negligent   act   likely   to   spread   infection   of
disease dangerous to life."
272,270,"270.Malignant   act   likely   to   spread   infection   of
disease dangerous to life."
273,271,271.Disobedience to quarantine rule.
274,272,272.Adulteration of food or drink intended for sale.
275,273,273.Sale of noxious food or drink.
276,274,274.Adulteration of drugs.
277,275,275.Sale of adulterated drugs.
278,276,276.Sale of drug as a different drug or preparation.
279,277,277.Fouling water of public spring or reservoir.
280,278,278.Making atmosphere noxious to health.
281,279,279.Rash driving or riding on a public way.
282,280,280.Rash navigation of vessel.
283,281,"281.Exhibition of false light, mark or buoy."
284,282,"282.Conveying person by water for hire in unsafe or
overloaded vessel."
285,283,"283. Danger  or  obstruction  in  public  way  or  line  of
navigation."
286,284,"284. Negligent  conduct  with  respect  to  poisonous
substance."
287,285,"285.Negligent   conduct   with   respect   to   fire   or
combustible matter."
288,286,"286. Negligent  conduct  with  respect  to  explosive
substance."
289,287,287.Negligent conduct with respect to machinery.
290,288,288.Negligent conduct with respect to pulling down or repairing buildings.
291,289,289.Negligent conduct with respect to animal.
292,290,290. Punishment  for  public  nuisance  in  cases  not otherwise provided for.
293,291,"291.Continuance   of   nuisance   after   injunction   to
discontinue."
294,292,"292.Sale, etc., of obscene books, etc."
295,293,"293.Sale, etc., of obscene objects to young person."
296,294,294.Obscene acts and songs
297,294A,294A.Keeping lottery office.
298,295,"295.Injuring or defiling place of worship, with intent
to insult the religion of any class."
299,295A,"295A.Deliberate   and  malicious   acts,   intended   to
outrage religious feelings of any class by insulting its religion or religious beliefs."
300,296,296.Disturbing religious assembly.
301,297,"297.Trespassing on burial places, etc."
302,298,"298. Uttering  words,  etc.,  with  deliberate  intent  to wound religious feelings of any person."
303,378,378.Theft.
303(1),,
303(2),379,379.Punishment for theft.
304,New,New Section
305,380,"380.Theft in dwelling house, etc."
306,381,381.Theft   by   clerk   or   servant   of   property   in possession of master.
307,382,"382.Theft after preparation made for causing death, hurt  or  restraint  in  order  to  the  committing  of  the
theft."
308,383,383.Extortion.
308(2),384,384.Punishment for extortion.
308(3),385,"385. Putting  person  in  fear  of  injury  in  order  to
commit extortion."
308(4),387,"387. Putting  person  in  fear  of  death  or  of  grievous
hurt, in order to commit extortion."
308(5),386,386.Extortion by putting a person in fear of death or grievous hurt.
308(6),389,"389.Putting person in fear or accusation of offence,
in order to commit extortion."
308(7),388,"388. Extortion by threat of accusation  of  an offence punishable with death or imprisonment for life, etc."
309,390,390.Robbery.
309(4),392,392.Punishment for robbery.
309(5),393,393.Attempt to commit robbery.
309(6),394,394.Voluntarily causing hurt in committing robbery.
310,391,391.Dacoity.
310(2),395,395.Punishment for dacoity.
310(3),396,396.Dacoity with murder.
310(4),399,399.Making preparation to commit dacoity.
310(5),402,402.Assembling for purpose of committing dacoity.
310(6),400,400.Punishment for belonging to gang of dacoits.
311,397,"397.Robbery,  or  dacoity,   with  attempt  to   cause death or grievous hurt."
312,398,"398. Attempt  to  commit  robbery  or  dacoity  when
armed with deadly weapon."
313,401,401.Punishment for belonging to gang of thieves.
314,403,403.Dishonest misappropriation of property.
315,404,"404.  Dishonest     misappropriation     of     property possessed  by  deceased  person  at  the  time  of  his
death."
316,405,405.Criminal breach of trust.
316(2),406,406.Punishment for criminal breach of trust.
316(3),407,"407.Criminal breach of trust by carrier, etc."
316(4),408,408.Criminal breach of trust by clerk or servant.
316(5),409,"409.Criminal breach of trust by public servant, or by banker, merchant or agent."
317,410,410.Stolen property.
317(2),411,411.Dishonestly receiving stolen property.
317(3),412,"412.Dishonestly   receiving   property   stolen   in   the
commission of a dacoity."
317(4),413,413.Habitually dealing in stolen property.
317(5),414,414.Assisting in concealment of stolen property.
318,415,415.Cheating.
318(2),417,417.Punishment for cheating.
318(3),418,"418.Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to
protect."
318(4),420,"420. Cheating  and  dishonestly  inducing  delivery  of
property."
319(2),419,419.Punishment of cheating by personation.
320,421,"421.Dishonest      or      fraudulent      removal      or
concealment   of   property   to   prevent   distribution among creditors."
321,422,422.Dishonestly   or   fraudulently   preventing   debt being available for creditors.
322,423,423. Dishonest  or  fraudulent  execution  of  deed  of transfer containing false statement of consideration.
323,424,424.Dishonest      or      fraudulent      removal      or concealment of property.
